3-4-5 100k
Max ram 27.4gb -> 24t
LSH=>Start=>2023-11-30 19:12:50.412111
LSH=>Finish=>2023-11-30 19:21:38.690907

U543:U8733,U9148,U16580,U23054,U61466
U544:U2345,U4566,U23909,U30466,U58082
U545:U17039,U27324,U36206,U62205,U75335
U546:U9635,U23045,U28511,U48933,U63228
U547:U407,U2342,U32495,U51504,U75423
U548:U3801,U10610,U31809,U37760,U51862
U549:U313,U5163,U5858,U10804,U17164
U550:U585,U4763,U6190,U15330,U22958
U551:U1920,U42857,U50117,U92235,U96307
U552:U869,U2588,U42564,U63088,U85612
U553:U82,U5824,U18362,U27777,U48982
U554:U1904,U12876,U24428,U36012,U49403
U555:U10160,U63214,U79099,U88950,U93908
U556:U491,U499,U501,U659,U82458
U557:U601,U697,U1687,U1747,U33949
U558:U6928,U17769,U64680,U66984,U77051
U559:U8664,U32448,U60723,U80902,U98225
U560:U22610,U28667,U33944,U60594,U78866
U561:U1906,U3032,U9973,U25049,U81788
U562:U8306,U24312,U49780,U59118,U61411
U563:U583,U5675,U40318,U63883,U81387
U564:U4058,U9073,U21807,U22843,U76488
U565:U11535,U22254,U61799,U71497,U87692
U566:U24521,U28578,U37429,U43009,U92684
U567:U4468,U6346,U11900,U25698,U75461
U568:U5732,U10620,U31146,U39351,U46931
U569:U14458,U53280,U55796,U76936,U95127
U570:U140,U749,U15790,U31570,U78131
U571:U622,U640,U714,U65517,U98974
U572:U8003,U12223,U15886,U23543,U30209
U573:U11636,U20466,U50408,U68726,U84108
U574:U13244,U15820,U26063,U27509,U99198
U575:U1088,U7545,U7603,U10230,U14954
U576:U10928,U35393,U39111,U81716,U82533
U577:U1937,U21503,U26997,U27368,U33333
U578:U86,U5885,U6719,U41596,U91520
U579:U7272,U7431,U32676,U43541,U45870
U580:U9912,U14862,U36972,U87826,U96461
U581:U2942,U53287,U55427,U70505,U74424
U582:U13002,U25460,U25580,U49133,U90019
U583:U563,U6419,U35274,U67713,U80874
U584:U29394,U45073,U53489,U62101,U74197
U585:U550,U4763,U6190,U15330,U22958
U586:U14937,U37748,U45878,U78926,U88918
U587:U948,U6349,U17705,U18467,U64203
U588:U9554,U38335,U75416,U92065,U92749
U589:U14944,U15718,U35546,U65247,U68919
U590:U2267,U7927,U26544,U37387,U75845
U591:U2920,U17303,U26504,U40611,U77100
U592:U8162,U12911,U15518,U29230,U90584
U593:U6032,U7926,U14191,U16543,U89290
U594:U24469,U51331,U55947,U69116,U71367
U595:U2908,U7477,U16005,U24665,U37621
U596:U3326,U12044,U44997,U62383,U63133
U597:U542,U1646,U52777,U65517,U98974
U598:U7710,U12200,U33941,U79763,U87708
